producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.21889555334413577,1.1172658651114984
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.21166069131976786,1.0803383704450826
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.20818801819694233,1.0626134825634026
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.19551636101063877,0.997936015102956
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.1640931590170828,0.8375486960206507
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.16405150225547674,0.8373360755398667
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.1485714861655366,0.758324449655095
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.13756532208102448,0.7021478336865234
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.12592363283349503,0.6427274306230973
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.09472234355269761,0.4834727773040368
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.0848447637667196,0.43305657397697084
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.04028586182708806,0.2056232645130142
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.035111298126946015,0.1792117486065005
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,0.033868604020069235,0.17286890753377276
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.026314872531465465,0.13431386967438466
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.012092283040497595,0.06172028104734723
ZAF,South Africa,Africa,Scope 2,climate_change,kt CO2eq,0.010483784611121757,0.05351033634188422
BRA,Brazil,America,Scope 2,climate_change,kt CO2eq,0.007671387762543486,0.0391555678230205
MLT,Malta,Europe,Scope 2,climate_change,kt CO2eq,0.007110986456164557,0.036295220772494904
LTU,Lithuania,Europe,Scope 2,climate_change,kt CO2eq,0.005701253086385912,0.02909979378048981
LUX,Luxembourg,Europe,Scope 2,climate_change,kt CO2eq,0.004451051650353483,0.022718634512277427
CHE,Switzerland,Europe,Scope 2,climate_change,kt CO2eq,0.0037310991428939075,0.01904392139546315
NOR,Norway,Europe,Scope 2,climate_change,kt CO2eq,0.0018680324671920471,0.009534633658055543
IRL,Ireland,Europe,Scope 2,climate_change,kt CO2eq,0.0010912460397504184,0.005569834252112325
MEX,Mexico,America,Scope 2,climate_change,kt CO2eq,2.2354109288871982e-05,0.00011409771862365534
CYP,Cyprus,Middle East,Scope 2,climate_change,kt CO2eq,1.004620517954944e-06,5.1276885023656515e-06
FRA,France,Europe,Scope 2,climate_change,kt CO2eq,8.78604433919213e-07,4.48448919110876e-06
USA,United States,America,Scope 2,climate_change,kt CO2eq,3.680191910922459e-08,1.8784085543614695e-07
CHN,China,Asia and Pacific,Scope 2,climate_change,kt CO2eq,2.575942580984838e-09,1.3147881134419003e-08
TWN,Taiwan,Asia and Pacific,Scope 2,climate_change,kt CO2eq,2.371535354480092e-09,1.2104565209235157e-08
IND,India,Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.7303344662373585e-09,8.831808617480612e-09
JPN,Japan,Asia and Pacific,Scope 2,climate_change,kt CO2eq,8.306822221490459e-10,4.239889195478531e-09
DNK,Denmark,Denmark,Scope 3,climate_change,kt CO2eq,1337.007903064033,37.38430431606877
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,climate_change,kt CO2eq,318.1271585617888,8.895207335442795
RoW Middle East,RoW Middle East,Middle East,Scope 3,climate_change,kt CO2eq,210.84904988413032,5.895585977882421
CHN,China,Asia and Pacific,Scope 3,climate_change,kt CO2eq,185.6253912209782,5.190302987956248
RUS,Russia,Europe,Scope 3,climate_change,kt CO2eq,177.157131141021,4.953520534291445
DEU,Germany,Europe,Scope 3,climate_change,kt CO2eq,164.3799951819502,4.59625687273266
IND,India,Asia and Pacific,Scope 3,climate_change,kt CO2eq,88.90629189093981,2.485923878271159
RoW Africa,RoW Africa,Africa,Scope 3,climate_change,kt CO2eq,84.07073533603479,2.3507160628410118
RoW Europe,RoW Europe,Europe,Scope 3,climate_change,kt CO2eq,73.95584031368071,2.0678917707974183
NLD,Netherlands,Europe,Scope 3,climate_change,kt CO2eq,67.28659618121632,1.8814119065910633
NOR,Norway,Europe,Scope 3,climate_change,kt CO2eq,65.17571501108667,1.822389200847635
USA,United States,America,Scope 3,climate_change,kt CO2eq,56.87422307158588,1.5902697793898652
GBR,United Kingdom,Europe,Scope 3,climate_change,kt CO2eq,55.657344371818745,1.5562444280635328
JPN,Japan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,53.78007097047716,1.5037536686900228
RoW America,RoW America,America,Scope 3,climate_change,kt CO2eq,53.43504719661026,1.4941064005407778
POL,Poland,Europe,Scope 3,climate_change,kt CO2eq,46.332478383016564,1.2955102715689886
FRA,France,Europe,Scope 3,climate_change,kt CO2eq,42.50239627675833,1.1884166974115364
AUS,Australia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,38.14602071127784,1.0666073427459575
CAN,Canada,America,Scope 3,climate_change,kt CO2eq,34.56162385221774,0.9663834153768115
KOR,South Korea,Asia and Pacific,Scope 3,climate_change,kt CO2eq,33.653266096823884,0.9409846704047866
GRC,Greece,Europe,Scope 3,climate_change,kt CO2eq,29.544877136549243,0.8261093111883581
ITA,Italy,Europe,Scope 3,climate_change,kt CO2eq,28.08304036254875,0.7852346456800889
SWE,Sweden,Europe,Scope 3,climate_change,kt CO2eq,27.555026945955163,0.7704707731527353
BEL,Belgium,Europe,Scope 3,climate_change,kt CO2eq,25.56984423016023,0.7149627431701157
ZAF,South Africa,Africa,Scope 3,climate_change,kt CO2eq,25.492887621871155,0.7128109464179663
ESP,Spain,Europe,Scope 3,climate_change,kt CO2eq,23.254455691746095,0.6502217722815792
TUR,Turkey,Middle East,Scope 3,climate_change,kt CO2eq,21.693911073705202,0.6065871200361094
CZE,Czech Republic,Europe,Scope 3,climate_change,kt CO2eq,20.533698999716464,0.5741462338261083
TWN,Taiwan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,18.163569354270415,0.5078746375768769
IRL,Ireland,Europe,Scope 3,climate_change,kt CO2eq,17.390100465705356,0.4862475430452278
BRA,Brazil,America,Scope 3,climate_change,kt CO2eq,16.315863409010056,0.45621061884824965
IDN,Indonesia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,13.3367028976638,0.37290980745637453
BGR,Bulgaria,Europe,Scope 3,climate_change,kt CO2eq,13.068461556562376,0.3654094659079778
FIN,Finland,Europe,Scope 3,climate_change,kt CO2eq,12.134362616106271,0.3392909673027709
CHE,Switzerland,Europe,Scope 3,climate_change,kt CO2eq,11.213698184384096,0.31354811327056564
MEX,Mexico,America,Scope 3,climate_change,kt CO2eq,9.242355516021656,0.25842706719715064
PRT,Portugal,Europe,Scope 3,climate_change,kt CO2eq,9.13131425216068,0.2553222236204551
AUT,Austria,Europe,Scope 3,climate_change,kt CO2eq,9.119652759093047,0.254996154638648
HUN,Hungary,Europe,Scope 3,climate_change,kt CO2eq,8.777771226710858,0.2454367472354985
ROU,Romania,Europe,Scope 3,climate_change,kt CO2eq,6.792231859716898,0.18991874486832644
SVK,Slovakia,Europe,Scope 3,climate_change,kt CO2eq,6.456476056333157,0.18053062001071088
LVA,Latvia,Europe,Scope 3,climate_change,kt CO2eq,6.314466656403831,0.17655987113889512
EST,Estonia,Europe,Scope 3,climate_change,kt CO2eq,5.729613822625462,0.16020670204544468
HRV,Croatia,Europe,Scope 3,climate_change,kt CO2eq,5.673467117463517,0.15863677451748587
LUX,Luxembourg,Europe,Scope 3,climate_change,kt CO2eq,5.10537922694809,0.14275237284070297
CYP,Cyprus,Middle East,Scope 3,climate_change,kt CO2eq,5.004387417348741,0.13992852375586198
SVN,Slovenia,Europe,Scope 3,climate_change,kt CO2eq,3.79882213503001,0.10621950881002266
LTU,Lithuania,Europe,Scope 3,climate_change,kt CO2eq,3.289335917835012,0.09197367844147299
MLT,Malta,Europe,Scope 3,climate_change,kt CO2eq,1.1182934977435368,0.03126879380332512
DNK,Denmark,Denmark,Outside protocol,land_use,km2,0.6451,100.0
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,land_use,km2,0.05800812832185682,62.17113674606345
RoW Europe,RoW Europe,Europe,Scope 2,land_use,km2,0.0164092084935395,17.58683092628103
RoW Africa,RoW Africa,Africa,Scope 2,land_use,km2,0.008836638173444959,9.470807904859242
CAN,Canada,America,Scope 2,land_use,km2,0.003968606615679701,4.253417438772777
RoW America,RoW America,America,Scope 2,land_use,km2,0.0038325053228246047,4.107548707369112
RUS,Russia,Europe,Scope 2,land_use,km2,0.001993577360570646,2.136648333319756
CZE,Czech Republic,Europe,Scope 2,land_use,km2,0.00012816551961805208,0.13736343986299357
RoW Middle East,RoW Middle East,Middle East,Scope 2,land_use,km2,7.183094039657179e-05,0.07698595605800525
BGR,Bulgaria,Europe,Scope 2,land_use,km2,2.9359455808831584e-05,0.03146646504009196
LUX,Luxembourg,Europe,Scope 2,land_use,km2,1.4970698183977521e-05,0.01604508455807935
SVK,Slovakia,Europe,Scope 2,land_use,km2,8.73957224348314e-06,0.009366775946242054
POL,Poland,Europe,Scope 2,land_use,km2,1.1956766804701053e-06,0.0012814855530785493
HUN,Hungary,Europe,Scope 2,land_use,km2,1.0270304970563119e-06,0.0011007363161346284
RoW Africa,RoW Africa,Africa,Scope 3,land_use,km2,522.007051871341,15.66163254438338
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,land_use,km2,484.78354339410186,14.544825961611496
DNK,Denmark,Denmark,Scope 3,land_use,km2,333.0171848211808,9.991422071669307
