country_producing,sector_producing,background_year,analysis_year,country_consuming,sector_consuming,value,unit
DNK,Sea and coastal water transport,2022,2022,DNK,Processing of meat cattle,0.8133131110912124,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of ceramic goods,0.8071299011452777,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Sugar refining,0.8064021558983229,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.7971364436235516,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Air transport (62),0.7707761861584833,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Re-processing of secondary wood material into new wood material,0.7694176797188594,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of glass and glass products,0.7288129945554948,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Re-processing of secondary aluminium into new aluminium,0.6782044687668662,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of meat products nec,0.6726121584703566,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Collection, purification and distribution of water (41)",0.6676778830776535,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Copper production,0.6510269656322989,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Inland water transport,0.5352478563888367,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of tobacco products (16),0.473666930143017,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Transport via railways,0.415238229949921,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of textiles (17),0.4055699399920334,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Re-processing of secondary glass into new glass,0.4022960129082207,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of office machinery and computers (30),0.3307555505954038,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Processing vegetable oils and fats,0.3275568952853099,M.EUR
