pharma_scenario,indicator,unit,deterministic,median,mean,sd,cv_pct,p2_5,p16,p84,p97_5,rel_low_pct,rel_high_pct,mcse_median_pct,draws,seed
A,Global warming (ktCO2eq),ktCO2eq,4266.880461662372,4289.005586641452,4304.718725966496,344.3439305607962,7.999220215798979,3674.8280346128386,3965.068551547244,4643.5485611161885,5028.890569548491,-14.319812357939865,17.25073488389677,0.037371887598926345,100000,42
A,Material extraction (kt),kt,3498.2789002568993,3496.8978932013465,3510.436639224497,291.67491340833186,8.308792990286438,2973.7761853296706,3222.3434095002995,3799.1368020366203,4118.939447565906,-14.959593441053187,17.78838197060115,0.04264538954117792,100000,42
A,Blue water consumption (Mm3),Mm3,74.78120833586617,74.73293508498747,75.02488551919174,6.271099361472214,8.358692343313253,63.509246776872814,68.83256697386334,81.22642971023734,88.08909384855544,-15.018396233669806,17.871850942799348,0.04190506317997405,100000,42
A,Land use (km2),km2,4117.690740308699,4114.583262752335,4130.7457907805965,346.13639694841635,8.379513397337535,3495.202264751776,3788.95483651773,4472.876084007367,4852.15314032821,-15.053310589375247,17.925749230858877,0.04201867080294105,100000,42
A,Waste generation (kt),kt,221.09313385682864,221.24971864220123,221.86192668672942,15.548103532833869,7.008008884186739,193.0596769313108,206.4551575380887,237.3027540079006,254.13183489830573,-12.74127799298067,14.861992348691079,0.036416513881606695,100000,42
B,Global warming (ktCO2eq),ktCO2eq,4266.880461662372,3547.0752224087414,3570.7395465620566,339.27249371971305,9.501462912532165,2973.5633629301396,3237.6261372051813,3904.118107884123,4303.550535690723,-16.168584637151916,21.326734445971972,0.026586041920415412,100000,42
B,Material extraction (kt),kt,3498.2789002568993,2266.7096135017955,2280.411303726293,211.28642299394437,9.265276954586788,1902.6508857076024,2073.8675595814575,2486.364546788026,2734.9277412190045,-16.061110149516054,20.656290727680293,0.0411368864667118,100000,42
B,Blue water consumption (Mm3),Mm3,74.78120833586617,58.86574183434257,59.24132184726279,10.404909738356992,17.56360157726248,41.62475710347657,47.96715790920666,70.39054913687522,79.60915528178082,-29.28865617524169,35.23851530795867,0.10143573371788506,100000,42
B,Land use (km2),km2,4117.690740308699,3535.5994702458665,3557.9244897703384,445.7722773457061,12.528997695914573,2770.129436027676,3100.6104999752242,4017.4856451067326,4468.667625700798,-21.650360586940565,26.390663402550118,0.055761699297857396,100000,42
B,Waste generation (kt),kt,221.09313385682864,193.73990764647746,194.6718885944406,20.692203940886024,10.629271689038799,158.15709661268758,173.20932231637636,215.9880051537423,236.5408274755692,-18.366278515378887,22.09194809114483,0.06385062845036277,100000,42
