group,Food and food services,Heat and electricity,Individual travel,"Medical, electrical equipment and machinery",Operational impacts,Other,Pharmaceuticals and chemical products,Services,Transport
Food and food services,1330.7219277325541,227.56302030131312,10.8738448196457,351.5370790895976,-0.666433610311998,898.7815417233388,3502.894373093366,2428.7285351920427,1738.1170963086447
Heat and electricity,227.56302030131312,38.9149131230539,1.8595056697252268,60.11536880724532,-0.11396494040743164,153.69810774377112,599.0201308968101,415.3300471286408,297.2305241466189
Individual travel,10.8738448196457,1.8595056697252268,35742.98933224057,2.872545771365785,6.791481134326788,7.344292453431205,29.058016421207025,19.846082528845383,14.202828697531132
"Medical, electrical equipment and machinery",351.5370790895976,60.11536880724532,2.872545771365785,92.86562083290782,-0.1760519007719421,237.43130050876522,925.3603105307575,641.5977052529533,459.158742648182
Operational impacts,-0.666433610311998,-0.11396494040743164,6.791481134326788,-0.1760519007719421,143.22003728990526,-0.450115245904969,-1.851663231890849,-1.216321977149493,-0.8704595809972872
Other,898.7815417233388,153.69810774377112,7.344292453431205,237.43130050876522,-0.450115245904969,607.0451255876071,2365.8863204482,1640.385066027196,1173.9398975545737
Pharmaceuticals and chemical products,3502.894373093366,599.0201308968101,29.058016421207025,925.3603105307575,-1.851663231890849,2365.8863204482,9223.926945072128,6393.206080395849,4575.291403525175
Services,2428.7285351920427,415.3300471286408,19.846082528845383,641.5977052529533,-1.216321977149493,1640.385066027196,6393.206080395849,4432.723452379873,3172.2740125752753
Transport,1738.1170963086447,297.2305241466189,14.202828697531132,459.158742648182,-0.8704595809972872,1173.9398975545737,4575.291403525175,3172.2740125752753,2270.2346579860573
