indicator,deterministic,tier1_uncertainty_pct
Global warming (ktCO2eq),4712.417605953842,7.840701455400814
Material extraction (kt),4259.384222540145,8.301289521741307
Blue water consumption (Mm3),95.5049530755637,8.334620921146882
Land use (km2),4855.460127817186,8.347134460485508
Waste generation (kt),259.4180916719404,7.149285903857183
