indicator,mrio_spread_multiplier,basis,median,p2_5,p97_5,cv_pct,draws,seed
Global warming (ktCO2eq),1.0,carbon calibration applied unchanged (default),4674.307134275359,4010.9316717289475,5447.2682969959205,7.817604461666245,40000,23
Material extraction (kt),1.0,carbon calibration applied unchanged (default),4254.594581953455,3618.015894756917,5005.212943760673,8.296364043212295,40000,23
Blue water consumption (Mm3),1.0,carbon calibration applied unchanged (default),95.38989095721725,81.07727316973798,112.29046979117324,8.330232587723996,40000,23
Land use (km2),1.0,carbon calibration applied unchanged (default),4849.039423526974,4120.240699260408,5710.01934678637,8.342974914779724,40000,23
Waste generation (kt),1.0,carbon calibration applied unchanged (default),259.32641451344,225.63807972700522,298.84219751995596,7.149522181950724,40000,23
Material extraction (kt),3.0,"bound: three times the carbon spread, after the carbon-to-other ratio in Schulte et al. (2021) industry footprints. NOT an estimate",4249.202006515749,2633.8627572287264,6876.501259967911,24.89855240703893,40000,23
Blue water consumption (Mm3),3.0,"bound: three times the carbon spread, after the carbon-to-other ratio in Schulte et al. (2021) industry footprints. NOT an estimate",95.28750867904748,58.90141092348358,154.47388190817762,25.000117389043695,40000,23
Land use (km2),3.0,"bound: three times the carbon spread, after the carbon-to-other ratio in Schulte et al. (2021) industry footprints. NOT an estimate",4843.025809204606,2991.218957506905,7857.538890211592,25.037340792301872,40000,23
Waste generation (kt),3.0,"bound: three times the carbon spread, after the carbon-to-other ratio in Schulte et al. (2021) industry footprints. NOT an estimate",259.1131761541974,175.5523665954407,393.6994305438933,21.06179245870171,40000,23
