rho,median,p2_5,p97_5,cv_pct
0.0,4740.432219635996,4095.6847855949572,5492.347473800488,7.486835308286129
0.5,4738.939297601524,4073.4115575911896,5512.1022696289165,7.740309384720568
0.8,4736.9016013661985,4057.5265336103275,5529.556135599134,7.881310646973934
