pharma_scenario,indicator,unit,group,deterministic,median,mean,sd,cv_pct,p2_5,p16,p84,p97_5,share_pct,share_p2_5,share_p97_5,draws,seed
A,Global warming (ktCO2eq),ktCO2eq,Food and food services,433.74297726496013,433.41757290022554,435.11041303383314,36.47906149741982,8.383863130984938,368.12411025746627,399.0758524033876,471.16399809704774,511.1307684313873,10.154714918185263,9.095188492383336,10.910216701437573,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Heat and electricity,74.17316862665821,74.11752213995425,74.40700997784343,6.238181876400701,8.383863130984942,62.951870432211805,68.2448409465813,80.57243232393434,87.40703749533056,1.7365292845354503,1.5553426455241177,1.8657255231011356,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Individual travel,707.7282098561154,709.5122494660822,733.6843473472056,189.05816388677948,25.768324562239897,434.2877111915039,552.0598691685186,914.1767750652184,1168.9633097553638,16.62081444262862,10.6627478843865,25.1508708752303,100000,42
A,Global warming (ktCO2eq),ktCO2eq,"Medical, electrical equipment and machinery",114.58196947514112,114.49600733871137,114.94320525702331,9.636681007115921,8.383863130984942,97.24742019008596,105.42394813326912,124.46748806900555,135.02551782050932,2.682573080770571,2.402677771929223,2.8821541386885414,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Operational impacts,131.2330621077094,131.66961550152203,132.2245623432753,11.9674574279546,9.05085803716653,110.43864438296718,120.39174037564929,144.0010613884661,157.2735498817697,3.0701075612078537,2.430250182060059,3.8694274222355025,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Other,292.9539024596476,292.7341214291223,293.8774808594185,24.638285768040113,8.383863130984942,248.63433033414196,269.5394149691686,318.2283960224266,345.22231166339606,6.858585659198633,6.1429719951918305,7.3688583490635,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Pharmaceuticals and chemical products,1154.3021094761225,1153.4907490322337,1158.0248382819175,96.04127729821316,8.293542083320341,981.6149843489292,1063.2097691271213,1253.0031809749655,1358.2459759660132,27.0302992102064,24.22102347552137,29.020828569686024,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Services,791.6334163197931,791.0395139802911,794.1291520574338,66.57870119174652,8.383863130984938,671.8710441616745,728.361718732429,859.9313072741945,932.8754991053731,18.53358344410936,16.599819514540744,19.912465614105567,100000,42
A,Global warming (ktCO2eq),ktCO2eq,Transport,566.531646076224,566.1066204733752,568.3177168085459,47.646979526367076,8.383863130984938,480.82382672701715,521.2513203026515,615.4089620008222,667.6113984036881,13.263540067693075,11.879643886005395,14.25033568471581,100000,42
A,Material extraction (kt),kt,Food and food services,140.02462546730888,139.91957564129277,140.46607280230532,11.77648328921494,8.38386313098494,118.84098041038693,128.83308709271796,152.1052001423348,165.0076154909186,4.002551428331259,3.976751915340514,4.017578678035648,100000,42
A,Material extraction (kt),kt,Heat and electricity,30.351828955493048,30.329058286830985,30.447517367156028,2.5526781828452307,8.38386313098494,25.760048264948143,27.92594381307054,32.97042218505361,35.76715813393406,0.867595652784927,0.8620033335566714,0.8708529692117837,100000,42
A,Material extraction (kt),kt,Individual travel,31.934595047576096,32.01896632231865,33.16419583514174,8.758769507067713,26.410317773442493,19.38872726822101,24.775635656450493,41.49912669487898,53.40566538724087,0.9158474546846352,0.5438441641068017,1.554520792564949,100000,42
A,Material extraction (kt),kt,"Medical, electrical equipment and machinery",105.20808655446024,105.12915692939501,105.53976985141279,8.848309853098955,8.38386313098494,89.29166645871119,96.79927750346643,114.28487673901589,123.97916034252614,3.0073337150890413,2.9879491433629273,3.0186245018510025,100000,42
A,Material extraction (kt),kt,Operational impacts,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
