study,consuming_country_iso3,reference_year,figure,article_page,indicator,figure_group,published_share_pct,archive_share_pct,difference_pp,note,source
steenmeijer_2022,NLD,2016,1,e954,blue_water_consumption,Heat and electricity (scope 2),1.411,1.454336133264493,0.04333613326449304,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,blue_water_consumption,Pharmaceuticals and chemical products (scope 3),63.144,63.205210969739,0.061210969739001087,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Other (scope 3),7.698,7.670664261343581,-0.027335738656419473,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Individual travel (scope 3 and out-of-scope),0.094,0.011498473801076924,-0.08250152619892308,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Food and food services (scope 3),23.703,23.637425474935434,-0.06557452506456585,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Services (scope 3),5.455,5.44562951563336,-0.009370484366639786,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Medical and electrical equipment and machinery (scope 3),2.634,2.593704542981607,-0.04029545701839288,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Heat and electricity (scope 2),0.471,0.4984109309008009,0.027410930900800934,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,land_use,Pharmaceuticals and chemical products (scope 3),60.04,60.14266680040414,0.102666800404144,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Other (scope 3),13.153,13.039194651491357,-0.11380534850864343,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Food and food services (scope 3),13.357,13.335259354605434,-0.02174064539456566,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
