study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WHEA,Cultivation of wheat,Food and catering,MRIO supply-chain node,0.00409417504736648,climate_change,kt CO2eq per M.EUR,1.324706513490257,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OCER,Cultivation of cereal grains nec,Food and catering,MRIO supply-chain node,0.003949248627238034,climate_change,kt CO2eq per M.EUR,0.8255660536981917,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,MRIO supply-chain node,0.01546074406743107,climate_change,kt CO2eq per M.EUR,0.1711197412466354,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OILS,Cultivation of oil seeds,Food and catering,MRIO supply-chain node,0.06092407094883933,climate_change,kt CO2eq per M.EUR,0.5641999314799817,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OTCR,Cultivation of crops nec,Food and catering,MRIO supply-chain node,0.0007034938154075763,climate_change,kt CO2eq per M.EUR,19.12725679529729,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CATL,Cattle farming,Food and catering,MRIO supply-chain node,1.608276153643412e-07,climate_change,kt CO2eq per M.EUR,3.696907184017396,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PIGS,Pigs farming,Food and catering,MRIO supply-chain node,3.920600878437405e-08,climate_change,kt CO2eq per M.EUR,0.6881229803554885,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PLTR,Poultry farming,Food and catering,MRIO supply-chain node,0.009309806183175489,climate_change,kt CO2eq per M.EUR,0.4336220332572076,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OMEA,Meat animals nec,Food and catering,MRIO supply-chain node,0.01240720346604111,climate_change,kt CO2eq per M.EUR,5.739626015762276,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OANP,Animal products nec,Food and catering,MRIO supply-chain node,0.01851172914083147,climate_change,kt CO2eq per M.EUR,0.1061713773730157,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
