study,consuming_country_iso3,reference_year,purchased_sector_name,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Cultivation of plant-based fibers,0.1227860123570303,climate_change,kt CO2eq per M.EUR,1.093551057249361,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Cultivation of sugar cane, sugar beet",1.480734483394272,climate_change,kt CO2eq per M.EUR,0.8159229318860719,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Cultivation of vegetables, fruit, nuts",103.3182530748019,climate_change,kt CO2eq per M.EUR,0.3505832640184953,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Cultivation of wheat,11.39913299149483,climate_change,kt CO2eq per M.EUR,1.702144839306838,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Distribution and trade of electricity,249.1702095828258,climate_change,kt CO2eq per M.EUR,1.059839481171276,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Education (80),228.5179050565451,climate_change,kt CO2eq per M.EUR,0.0947409430378062,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",18.21661480495169,climate_change,kt CO2eq per M.EUR,1.115713527675575,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",66.8493668814867,climate_change,kt CO2eq per M.EUR,1.536704480989691,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.009120607706944823,climate_change,kt CO2eq per M.EUR,30.52000683151108,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Financial intermediation, except insurance and pension funding (65)",701.6981131941521,climate_change,kt CO2eq per M.EUR,0.07453214921087604,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",29.67024803574029,climate_change,kt CO2eq per M.EUR,0.4503107758304573,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Forestry, logging and related service activities (02)",0.3218771378938596,climate_change,kt CO2eq per M.EUR,0.4050569211299767,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Health and social work (85),1900.564713522569,climate_change,kt CO2eq per M.EUR,0.1178857367593446,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Hotels and restaurants (55),1142.102472945868,climate_change,kt CO2eq per M.EUR,0.3107897143816089,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Food,27.9256968092554,climate_change,kt CO2eq per M.EUR,0.4696558291817345,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Metals and Inert materials,14.49053742260637,climate_change,kt CO2eq per M.EUR,2.288867188480475,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Oil/Hazardous waste,17.34078466058779,climate_change,kt CO2eq per M.EUR,0.4244504642744754,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Paper,27.77612374749406,climate_change,kt CO2eq per M.EUR,0.4491343720371483,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Plastic,9.154716245653836,climate_change,kt CO2eq per M.EUR,2.270739937276022,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Textiles,6.34944717030981,climate_change,kt CO2eq per M.EUR,2.353070347622425,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Incineration of waste: Wood,9.354422009653879,climate_change,kt CO2eq per M.EUR,0.4351803542321536,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Inland water transport,4.961719183182436,climate_change,kt CO2eq per M.EUR,1.070777558486511,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Insurance and pension funding, except compulsory social security (66)",112.512917938333,climate_change,kt CO2eq per M.EUR,0.1001829134136515,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Landfill of waste: Food,1.344697244376358,climate_change,kt CO2eq per M.EUR,4.44377962522986,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Landfill of waste: Inert/metal/hazardous,17.69813398258774,climate_change,kt CO2eq per M.EUR,0.3545459993368873,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Landfill of waste: Paper,0.9259637387976623,climate_change,kt CO2eq per M.EUR,1.804569071123912,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Landfill of waste: Plastic,0.6066591431611352,climate_change,kt CO2eq per M.EUR,0.7761392495252798,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
