analysis_year_denmark,reference_year_netherlands,table_row,indicator,unit,netherlands_2016,denmark_2022,netherlands_per_capita,denmark_per_capita,per_capita_unit,dk_as_pct_of_nl_per_capita,source_netherlands,source_denmark
2022,2016,Medical appliances,land_use,km2,351.0,103.64186574432819,20.61030700901933,17.645914261933964,km2 per million population,85.61694036974747,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Medical appliances,waste_generation,kt,212.0,6.198236728855702,12.448390558154124,1.0553028267782147,kt per million population,8.477423823170097,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of anaesthetic gases,climate_change,kt CO2eq,14.0,11.5721119865,0.8220635274252723,1.9702510609661834,kt CO2eq per million population,239.6713873363375,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of anaesthetic gases,material_extraction,kt,,,,,kt per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of anaesthetic gases,blue_water_consumption,Mm3,,,,,Mm3 per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of anaesthetic gases,land_use,km2,,,,,km2 per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of anaesthetic gases,waste_generation,kt,,,,,kt per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of pMDI propellants,climate_change,kt CO2eq,77.0,11.6,4.521349400838998,1.974999233836504,kt CO2eq per million population,43.68163259999363,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of pMDI propellants,material_extraction,kt,,,,,kt per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of pMDI propellants,blue_water_consumption,Mm3,,,,,Mm3 per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of pMDI propellants,land_use,km2,,,,,km2 per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Release of pMDI propellants,waste_generation,kt,,,,,kt per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Private travel,climate_change,kt CO2eq,932.0,627.294307534464,54.72594339716813,106.80222213539368,kt CO2eq per million population,195.15830245316576,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Private travel,material_extraction,kt,42.0,,2.466190582275817,,kt per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Private travel,blue_water_consumption,Mm3,0.29,,0.017028458782380643,,Mm3 per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Private travel,land_use,km2,3.0,,0.17615647016255837,,km2 per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Private travel,waste_generation,kt,,,,,kt per million population,,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
