study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Electricity,material_extraction,kt,1.258883239207022,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Food and catering,material_extraction,kt,91.86738769419108,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Furniture and timber,material_extraction,kt,0.3210679999627414,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,General and special Machinery,material_extraction,kt,0.5948462825116058,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Metal Products,material_extraction,kt,9.433411721932108,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Minerals and Metals,material_extraction,kt,33176.86370767849,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Natural gas and gaseous fuels,material_extraction,kt,18.13807696603208,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Non-metallic mineral products,material_extraction,kt,23.23202163363568,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Paper Products,material_extraction,kt,0.7656237872557493,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Private travel,material_extraction,kt,42.17910000000001,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Services,material_extraction,kt,248.0507742661683,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
