study,consuming_country_iso3,reference_year,figure,indicator,unit,figure_group,legend_position,value,share_pct,source
steenmeijer_2022,NLD,2016,1,land_use,km2,Operational impacts (scope 1),6,0.0,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,land_use,km2,Heat and electricity (scope 2),7,119.03632796133226,0.4984109309008009,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,land_use,km2,Pharmaceuticals and chemical products (scope 3),8,14363.97511744567,60.14266680040414,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Other (scope 3),1,3340.4405658093,9.861896816460302,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Individual travel (scope 3 and out-of-scope),2,42.179100000000005,0.12452427271681851,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Food and food services (scope 3),3,517.232293615901,1.5270116049932785,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Services (scope 3),4,1397.2776781438201,4.125146972180629,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Medical and electrical equipment and machinery (scope 3),5,1407.4320733383045,4.155125532094718,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Operational impacts (scope 1),6,0.0,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Heat and electricity (scope 2),7,159.86408767767782,0.47196263674664785,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,material_extraction,kt,Pharmaceuticals and chemical products (scope 3),8,27007.765606154044,79.73433216480761,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Other (scope 3),1,627.1819253905784,13.039194651491357,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Individual travel (scope 3 and out-of-scope),2,0.0,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Food and food services (scope 3),3,641.4225618334157,13.335259354605434,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Services (scope 3),4,279.4048384517102,5.808863310069929,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Medical and electrical equipment and machinery (scope 3),5,378.2933207349206,7.8647678524056195,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Operational impacts (scope 1),6,190.2618270286488,3.9555683876412284,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Heat and electricity (scope 2),7,77.06485965588065,1.6021885599096481,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,waste_generation,kt,Pharmaceuticals and chemical products (scope 3),8,2616.3450721787517,54.39415788387678,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
