study,consuming_country_iso3,reference_year,purchased_country_name,purchased_sector_group,demand_component,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Belgium,"Steam, hot water supply and water distribution",total,expenditure,M.EUR,0.1856274403499217,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Textile,total,expenditure,M.EUR,7.944279439318853,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Transport,total,expenditure,M.EUR,9.065290018580129,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Transport Equipment,total,expenditure,M.EUR,0.7428038462643896,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Waste management and disposal,total,expenditure,M.EUR,3.559329370900275,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Chemical,total,expenditure,M.EUR,68.96512305536348,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Coal and Petroleum,total,expenditure,M.EUR,0.03967113986030551,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Construction,total,expenditure,M.EUR,0.04859417774519074,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,"Electrical, electronic and measuring equipment",total,expenditure,M.EUR,2.322544863497543,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Electricity,total,expenditure,M.EUR,0.0002956393588941179,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Food and catering,total,expenditure,M.EUR,9.914047819179004,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Furniture and timber,total,expenditure,M.EUR,0.1572918046868207,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,General and special Machinery,total,expenditure,M.EUR,0.6037641086422971,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Metal Products,total,expenditure,M.EUR,0.2076357094177287,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Minerals and Metals,total,expenditure,M.EUR,0.7139391167632959,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Natural gas and gaseous fuels,total,expenditure,M.EUR,0.0008261458958359483,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Non-metallic mineral products,total,expenditure,M.EUR,0.02513648093421239,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Paper Products,total,expenditure,M.EUR,0.0592562951323497,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Services,total,expenditure,M.EUR,6.391594539299416,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,"Steam, hot water supply and water distribution",total,expenditure,M.EUR,1.156325370657211e-06,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Textile,total,expenditure,M.EUR,0.1169638084499511,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Transport,total,expenditure,M.EUR,0.3236388058500287,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Transport Equipment,total,expenditure,M.EUR,0.007493351749468209,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Waste management and disposal,total,expenditure,M.EUR,0.01269956227930574,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Chemical,total,expenditure,M.EUR,3.31788734337855,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Coal and Petroleum,total,expenditure,M.EUR,0.0004388135454407454,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Construction,total,expenditure,M.EUR,0.02429792508072719,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,"Electrical, electronic and measuring equipment",total,expenditure,M.EUR,3.336683017731223,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Electricity,total,expenditure,M.EUR,8.085231569118606e-06,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Food and catering,total,expenditure,M.EUR,3.589188643503357,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Furniture and timber,total,expenditure,M.EUR,0.03165578259621965,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,General and special Machinery,total,expenditure,M.EUR,0.1914170001593756,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Metal Products,total,expenditure,M.EUR,0.1280180146370904,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Minerals and Metals,total,expenditure,M.EUR,0.05795454471725933,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
