study,consuming_country_iso3,reference_year,table_row,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Healthcare services,waste_generation,kt,2811.242166023418,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Pharmaceuticals and chemical products,waste_generation,kt,1786.813941233008,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Medical appliances,waste_generation,kt,211.9182980174792,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of anaesthetic gases,waste_generation,kt,0.0,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of pMDI propellants,waste_generation,kt,0.0,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,waste_generation,kt,0.0,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Total,expenditure,M.EUR,92528.019626516,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Healthcare services,expenditure,M.EUR,86096.0,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Pharmaceuticals and chemical products,expenditure,M.EUR,3792.926263700311,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Medical appliances,expenditure,M.EUR,2639.093362815687,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of anaesthetic gases,expenditure,M.EUR,,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of pMDI propellants,expenditure,M.EUR,,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,expenditure,M.EUR,,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
