study,consuming_country_iso3,reference_year,purchased_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",material_extraction,kt,1407.432073338305,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,material_extraction,kt,135.2441539058869,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,material_extraction,kt,517.2322936159012,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,material_extraction,kt,20.02850066226017,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,material_extraction,kt,266.8325142762682,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,material_extraction,kt,83.1635353296855,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,material_extraction,kt,1380.022913910939,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,material_extraction,kt,12.58780796833867,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,material_extraction,kt,241.9266601320072,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Operational impact,material_extraction,kt,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
