study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_world_region,producing_country_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Global,Global,climate_change,kt CO2eq,379.1686,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Middle East,Cyprus,climate_change,kt CO2eq,3.100813115220267,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Middle East,RoW Middle East,climate_change,kt CO2eq,1863.906771108439,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Middle East,Turkey,climate_change,kt CO2eq,49.4772110094408,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Netherlands,Netherlands,climate_change,kt CO2eq,4420.483304294234,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Direct,Netherlands,Netherlands,material_extraction,kt,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Africa,RoW Africa,material_extraction,kt,298.6950489599387,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Africa,South Africa,material_extraction,kt,158.9083785036671,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,Brazil,material_extraction,kt,299.5988342235659,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,Canada,material_extraction,kt,104.4218067349025,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,Mexico,material_extraction,kt,103.794690983489,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,RoW America,material_extraction,kt,603.5238612593004,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,United States,material_extraction,kt,640.7088172634343,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,Australia,material_extraction,kt,416.8374499644455,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,China,material_extraction,kt,7315.616100832662,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,India,material_extraction,kt,16071.24966069756,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
