study,consuming_country_iso3,reference_year,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",4193.566990054689,material_extraction,kt per M.EUR,0.3356169286614759,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,828.4167148769216,material_extraction,kt per M.EUR,0.1632561867441077,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,1947.588512596705,material_extraction,kt per M.EUR,0.2655757570300512,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,48.71268333600666,material_extraction,kt per M.EUR,0.4111557666431368,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,353.2508476265621,material_extraction,kt per M.EUR,0.7553627006674568,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,77.64249571374846,material_extraction,kt per M.EUR,1.071108476938865,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,177.9120207755214,material_extraction,kt per M.EUR,7.756771621700414,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,69.6171912465597,material_extraction,kt per M.EUR,0.1808146485507734,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,46.56848770501325,material_extraction,kt per M.EUR,5.195072291470677,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,675.8007126873321,material_extraction,kt per M.EUR,0.2883268325636183,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,9757.417535069237,material_extraction,kt per M.EUR,0.1432015872152495,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",49.81248630512268,material_extraction,kt per M.EUR,0.2415483886861276,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,79.31772237361132,material_extraction,kt per M.EUR,0.8099018534228849,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,1102.691235121235,material_extraction,kt per M.EUR,0.1583591099563303,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,66.18338095814354,material_extraction,kt per M.EUR,0.5064821989441907,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,258.2922008962467,material_extraction,kt per M.EUR,0.2154899819787482,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Chemical,5861.267663643347,blue_water_consumption,Mm3 per M.EUR,0.04257814727590042,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,147.2752485701147,blue_water_consumption,Mm3 per M.EUR,0.005196004514899764,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,554.8974547507368,blue_water_consumption,Mm3 per M.EUR,0.003214100736917123,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",4193.566990054689,blue_water_consumption,Mm3 per M.EUR,0.002774440048252309,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,828.4167148769216,blue_water_consumption,Mm3 per M.EUR,0.006675256843288765,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,1947.588512596705,blue_water_consumption,Mm3 per M.EUR,0.04834217220337765,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,48.71268333600666,blue_water_consumption,Mm3 per M.EUR,0.01101156978485815,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,353.2508476265621,blue_water_consumption,Mm3 per M.EUR,0.006658708085643075,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,77.64249571374846,blue_water_consumption,Mm3 per M.EUR,0.005677999293127543,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,177.9120207755214,blue_water_consumption,Mm3 per M.EUR,0.006268595271887271,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,69.6171912465597,blue_water_consumption,Mm3 per M.EUR,0.001169068869625217,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,46.56848770501325,blue_water_consumption,Mm3 per M.EUR,0.006740966505475942,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,675.8007126873321,blue_water_consumption,Mm3 per M.EUR,0.004083644142946883,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,9757.417535069237,blue_water_consumption,Mm3 per M.EUR,0.001878665459815878,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",49.81248630512268,blue_water_consumption,Mm3 per M.EUR,0.002631384836743184,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,79.31772237361132,blue_water_consumption,Mm3 per M.EUR,0.02103521674805625,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,1102.691235121235,blue_water_consumption,Mm3 per M.EUR,0.002193022587963775,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,66.18338095814354,blue_water_consumption,Mm3 per M.EUR,0.00361368872968172,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,258.2922008962467,blue_water_consumption,Mm3 per M.EUR,0.002856396032185895,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Chemical,5861.267663643347,land_use,km2 per M.EUR,2.450660154379824,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,147.2752485701147,land_use,km2 per M.EUR,0.2527892446375508,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,554.8974547507368,land_use,km2 per M.EUR,0.3100606208640051,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",4193.566990054689,land_use,km2 per M.EUR,0.1477164563115483,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,828.4167148769216,land_use,km2 per M.EUR,0.1304123483279163,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,1947.588512596705,land_use,km2 per M.EUR,2.898644338951096,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,48.71268333600666,land_use,km2 per M.EUR,4.618512463048587,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,353.2508476265621,land_use,km2 per M.EUR,0.3388840444656372,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
