study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_country_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Malta,climate_change,kt CO2eq,1.252004007192283,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Mexico,climate_change,kt CO2eq,73.76996486274373,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Netherlands,climate_change,kt CO2eq,4420.483304294234,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Norway,climate_change,kt CO2eq,57.84283260740913,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Poland,climate_change,kt CO2eq,55.27538617123925,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Portugal,climate_change,kt CO2eq,18.09851730698806,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Africa,climate_change,kt CO2eq,389.6367182514849,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW America,climate_change,kt CO2eq,362.7204994772774,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Asia and Pacific,climate_change,kt CO2eq,767.0969917631681,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Europe,climate_change,kt CO2eq,285.0414490729358,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
