study,consuming_country_iso3,reference_year,purchased_country_name,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Austria,Coal and Petroleum,0.001445673985534939,climate_change,kt CO2eq per M.EUR,2.966119471019258,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Construction,0.1051876063508452,climate_change,kt CO2eq per M.EUR,0.2638513929576363,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,"Electrical, electronic and measuring equipment",8.87443006394038,climate_change,kt CO2eq per M.EUR,0.1568564755643493,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Electricity,0.02443358555350227,climate_change,kt CO2eq per M.EUR,0.911655813676763,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Food and catering,18.64845736727598,climate_change,kt CO2eq per M.EUR,0.1895621822943254,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Furniture and timber,0.3509841044813198,climate_change,kt CO2eq per M.EUR,0.3025616106166792,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,General and special Machinery,0.6865563684260072,climate_change,kt CO2eq per M.EUR,0.2630182888549665,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Metal Products,0.150576174503659,climate_change,kt CO2eq per M.EUR,0.3631830198555357,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Minerals and Metals,0.1910675107454421,climate_change,kt CO2eq per M.EUR,0.359770119252425,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Natural gas and gaseous fuels,0.005967056965154319,climate_change,kt CO2eq per M.EUR,2.273150337100806,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
