indicator,denmark_first_three_layers_pct,malik_nsw_first_three_layers_pct,denmark_first_layer_pct,malik_nsw_first_layer_pct,malik_total,malik_unit,layer_definition,comparability,source_malik,source_denmark
climate_change,61.71302134522377,67.0,10.707649655433512,11.0,7908.0,kt CO2e,Malik's 'first three production layers' are L0 + L1 + L2 here; their figure 3 axis 1..8 is L0..L7,"shares are comparable; levels are not - Malik et al. 2021 exclude capital and imports entirely, and their water is an unqualified physical volume","Malik et al. 2021, Lancet Planet Health 5:e e-pub, section 3 and figure 3",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
blue_water_consumption,52.08947813942733,72.0,2.8052494183775156,17.0,246.0,GL,Malik's 'first three production layers' are L0 + L1 + L2 here; their figure 3 axis 1..8 is L0..L7,"shares are comparable; levels are not - Malik et al. 2021 exclude capital and imports entirely, and their water is an unqualified physical volume","Malik et al. 2021, Lancet Planet Health 5:e e-pub, section 3 and figure 3",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
waste_generation,81.61051694929704,90.0,34.513459110728355,62.0,1624.0,kt,Malik's 'first three production layers' are L0 + L1 + L2 here; their figure 3 axis 1..8 is L0..L7,"shares are comparable; levels are not - Malik et al. 2021 exclude capital and imports entirely, and their water is an unqualified physical volume","Malik et al. 2021, Lancet Planet Health 5:e e-pub, section 3 and figure 3",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
