indicator,unit,layer,origin,value,share_of_total_pct
blue_water_consumption,Mm3,0,domestic,0.14845687654272183,4.19807516788021
blue_water_consumption,Mm3,0,imported,3.3878513267637977,95.80192483211978
blue_water_consumption,Mm3,1,domestic,1.0696510656755576,3.9706376394737384
blue_water_consumption,Mm3,1,imported,25.86937391715635,96.02936236052626
blue_water_consumption,Mm3,2,domestic,2.235524030878507,9.373071291838762
blue_water_consumption,Mm3,2,imported,21.614972367511236,90.62692870816123
blue_water_consumption,Mm3,3,domestic,0.6866073647226311,3.678389153943053
blue_water_consumption,Mm3,3,imported,17.979372116720263,96.32161084605696
blue_water_consumption,Mm3,4,domestic,0.2098671845218074,2.0416426204211984
blue_water_consumption,Mm3,4,imported,10.06946292069078,97.95835737957881
blue_water_consumption,Mm3,5,domestic,0.0604942737764519,1.1135990917912475
blue_water_consumption,Mm3,5,imported,5.371826408089909,98.88640090820876
blue_water_consumption,Mm3,6,domestic,0.017932030470092522,0.6149506319141909
blue_water_consumption,Mm3,6,imported,2.8980793596271086,99.3850493680858
blue_water_consumption,Mm3,7,domestic,0.005425996198086827,0.33949535750877424
blue_water_consumption,Mm3,7,imported,1.5928274343945807,99.66050464249122
blue_water_consumption,Mm3,8,domestic,0.0017008517037854795,0.19052766399582732
blue_water_consumption,Mm3,8,imported,0.8910050515306809,99.80947233600416
blue_water_consumption,Mm3,9,domestic,0.0005589360695282811,0.11025453330804509
blue_water_consumption,Mm3,9,imported,0.5063917105461937,99.88974546669195
blue_water_consumption,Mm3,10,domestic,0.0001959170475533556,0.06711890203303185
blue_water_consumption,Mm3,10,imported,0.2916995723288031,99.93288109796697
blue_water_consumption,Mm3,11,domestic,7.437127481876364e-05,0.04375005636655536
blue_water_consumption,Mm3,11,imported,0.16991689501213533,99.95624994363344
blue_water_consumption,Mm3,12,domestic,3.082196862734017e-05,0.03084426487129642
blue_water_consumption,Mm3,12,imported,0.09989689151700998,99.9691557351287
blue_water_consumption,Mm3,13,domestic,1.3903600945703775e-05,0.023487532019985435
blue_water_consumption,Mm3,13,imported,0.059181762141514015,99.97651246798002
blue_water_consumption,Mm3,14,domestic,6.744852794495618e-06,0.019112205932472752
blue_water_consumption,Mm3,14,imported,0.03528406782642491,99.98088779406753
blue_water_consumption,Mm3,15,domestic,3.463974966068963e-06,0.01637730846630243
blue_water_consumption,Mm3,15,imported,0.02114759984725086,99.9836226915337
blue_water_consumption,Mm3,16,domestic,1.856306939016563e-06,0.01457891540344149
blue_water_consumption,Mm3,16,imported,0.012730962888776766,99.98542108459655
blue_water_consumption,Mm3,17,domestic,1.0263756857682583e-06,0.013340443212836083
blue_water_consumption,Mm3,17,imported,0.0076926886635618535,99.98665955678716
blue_water_consumption,Mm3,18,domestic,5.808942753439801e-07,0.012455629942725891
blue_water_consumption,Mm3,18,imported,0.0046631276296217015,99.98754437005728
