scope,consuming_country_iso3,model,analysis_year,indicator,unit,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,value
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,VOIL,Processing vegetable oils and fats,Food and catering,0.025525953180717726
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,DAIR,Processing of dairy products,Food and catering,8.48362026256951
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,RICE,Processed rice,Food and catering,0.01641043154947885
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,SUGR,Sugar refining,Food and catering,0.1649082068271689
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,OFOD,Processing of Food products nec,Food and catering,13.13676564041117
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,BEVR,Manufacture of beverages,Food and catering,3.978375442901713
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,FSHP,Manufacture of fish products,Food and catering,0.011805983814062171
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,TOBC,Manufacture of tobacco products (16),Food and catering,0.009730710264358466
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,TEXT,Manufacture of textiles (17),Textile,2.4210066280859475
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile,0.44941905086641454
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile,0.6678597461080785
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Furniture and timber,0.3546135496604106
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,WOOW,Re-processing of secondary wood material into new wood material,Furniture and timber,0.1828149119465626
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,PULP,Pulp,Paper Products,0.006832577007554577
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,PAPR,Re-processing of secondary paper into new pulp,Paper Products,0.008890839536362487
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,PAPE,Paper,Paper Products,0.04426185804963306
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,MDIA,"Publishing, printing and reproduction of recorded media (22)",Paper Products,0.2680538745361274
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,COKE,Manufacture of coke oven products,Coal and Petroleum,0.01646948481038243
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,REFN,Petroleum Refinery,Coal and Petroleum,0.45708140406341913
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,AUT,Austria,Europe,NUCF,Processing of nuclear fuel,Chemical,0.0007081334659787674
