scope,consuming_country_iso3,model,analysis_year,indicator,unit,sector_code,sector_name,sector_group,national,healthcare,healthcare_vs_sector_ratio_pct,sector_share_of_national_pct
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COPO,Mining of copper ores and concentrates,Minerals and Metals,0.9948241387084334,0.017300795670304084,1.7390808080677926,0.001657600935824328
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COPP,Copper production,Metal Products,35.17877017677567,0.2737286481280951,0.778107497085857,0.05861574935433156
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COPW,Re-processing of secondary copper into new copper,Metal Products,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_CRMC,Manufacture of ceramic goods,Non-metallic mineral products,265.14687918309676,2.744837044933391,1.035213785427189,0.4417943815028534
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_DAIR,Processing of dairy products,Food and catering,1278.9464462160036,30.93554605541473,2.418830448056929,2.131012652014245
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_EDUC,Education (80),Services,7299.00187225725,1.1702069791133651,0.016032424701262246,12.161780020481698
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ELMA,Manufacture of electrical machinery and apparatus n.e.c. (31),"Electrical, electronic and measuring equipment",7.099506877826122,12.500963666734911,176.08214037765285,0.011829376456279255
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_EXTO,Extra-territorial organizations and bodies,Services,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FABM,"Manufacture of fabricated metal products, except machinery and equipment (28)",Metal Products,803.491687231667,30.109275726160664,3.747303949079861,1.3387980054559452
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FAUX,Activities auxiliary to financial intermediation (67),Services,13.318564157918889,2.3424616270827,17.587944160556756,0.02219172570607785
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FIBR,Cultivation of plant-based fibers,Textile,0.315517431817343,0.008648063944117938,2.7409147869599835,0.0005257230598850593
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FINS,"Insurance and pension funding, except compulsory social security (66)",Services,110.45473936792982,1.3629125462241758,1.233910427043109,0.18404245757467824
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FINT,"Financial intermediation, except insurance and pension funding (65)",Services,138.45460266941726,0.38110482172315113,0.2752561593297845,0.2306965322051508
