Source	Global warming (ktCO2eq)	Material extraction (kt)	Blue water consumption (Mm3)	Land use (km2)	Waste generation (kt)	ISO2
Anaesthetic	11.572111986500001	0.0	0.0	0.0	0	DK
pMDI	11.6	0.0	0.0	0.0	0	DK
Commute (total)	363.7266	14.9822	0.1015	0.9768	0	DK
Commute (direct)	216.0362	0.0	0.0	0.0	0	DK
Commute (indirect)	147.6904	14.9822	0.1015	0.9768	0	DK
Visitor travel (total)	263.56770753446403	10.6529	0.0761	0.6924	0	DK
Visitor travel (direct)	156.02909712071272	0.0	0.0	0.0	0	DK
Visitor travel (indirect)	107.5386104137513	10.6529	0.0761	0.6924	0	DK
