Source	Global warming (ktCO2eq)	Material extraction (kt)	Blue water consumption (Mm3)	Land use (km2)	Waste generation (kt)	ISO2
Anaesthetic	11.748892470500001	0.0	0.0	0.0	0	DK
pMDI	12.551920252536068	0.0	0.0	0.0	0	DK
Commute (total)	444.16050232165134	18.295295092404313	0.12393087276819179	1.192834650393846	0	DK
Commute (direct)	263.81009972574026	0.0	0.0	0.0	0	DK
Commute (indirect)	180.3504025959111	18.295295092404313	0.12393087276819179	1.192834650393846	0	DK
Visitor travel (total)	263.56770753446403	13.639299955171785	0.09737580184708643	0.8864505070789104	0	DK
Visitor travel (direct)	156.02909712071272	0.0	0.0	0.0	0	DK
Visitor travel (indirect)	107.5386104137513	13.639299955171785	0.09737580184708643	0.8864505070789104	0	DK
