Source	Global warming (ktCO2eq)	Material extraction (kt)	Blue water consumption (Mm3)	Land use (km2)	Waste generation (kt)	ISO2
Anaesthetic	12.883458710120001	0.0	0.0	0.0	0	DK
pMDI	10.88	0.0	0.0	0.0	0	DK
Commute (total)	316.8201	13.05	0.0884	0.8508	0	DK
Commute (direct)	188.176	0.0	0.0	0.0	0	DK
Commute (indirect)	128.6441	13.05	0.0884	0.8508	0	DK
Visitor travel (total)	224.23761012569273	9.5876	0.0684	0.6231	0	DK
Visitor travel (direct)	132.74607706509858	0.0	0.0	0.0	0	DK
Visitor travel (indirect)	91.49153306059415	9.5876	0.0684	0.6231	0	DK
