producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Chemical,Scope 3,material_extraction,kt,40.540167204367066,0.530516653136557
Food and catering,Scope 3,material_extraction,kt,20.945951425072092,0.2741028666895365
Services,Scope 3,material_extraction,kt,17.597358480677034,0.2302825165508279
Private travel,Scope 3,material_extraction,kt,14.0657,0.18406653456572422
Non-metallic mineral products,Scope 3,material_extraction,kt,11.667522274374681,0.15268350611861084
Transport,Scope 3,material_extraction,kt,6.191926572001831,0.08102877683967392
Coal and Petroleum,Scope 3,material_extraction,kt,4.120696108985976,0.053924244991682795
Natural gas and gaseous fuels,Scope 3,material_extraction,kt,2.922637700390907,0.03824621549600032
Construction,Scope 3,material_extraction,kt,2.849829843145811,0.03729343746346296
Metal Products,Scope 3,material_extraction,kt,2.3204912758109018,0.03036640818647553
Waste management and disposal,Scope 3,material_extraction,kt,0.9387957150367132,0.01228526656561415
Electricity,Scope 3,material_extraction,kt,0.3647152791371434,0.0047727363397445394
"Electrical, electronic and measuring equipment",Scope 3,material_extraction,kt,0.3027673043818147,0.003962072879228652
Paper Products,Scope 3,material_extraction,kt,0.12966362109386717,0.0016968038131050195
General and special Machinery,Scope 3,material_extraction,kt,0.10045174770551453,0.0013145314553292408
Furniture and timber,Scope 3,material_extraction,kt,0.07195568453205045,0.0009416263317231999
Transport Equipment,Scope 3,material_extraction,kt,0.05937691519669835,0.0007770180661793691
Textile,Scope 3,material_extraction,kt,0.037916226255054954,0.0004961792424534785
"Steam, hot water supply and water distribution",Scope 3,material_extraction,kt,0.029326152206817464,0.00038376783301619235
Operational impact,Scope 1,waste_generation,kt,49.10282360999154,100.0
"Steam, hot water supply and water distribution",Scope 2,waste_generation,kt,32.81945757772131,97.50475427051258
Electricity,Scope 2,waste_generation,kt,0.83988326495038,2.495245729487419
Waste management and disposal,Scope 3,waste_generation,kt,73.06314348826031,25.68683096469725
Chemical,Scope 3,waste_generation,kt,69.62036575674468,24.476452579421842
Food and catering,Scope 3,waste_generation,kt,57.23252825747637,20.121256886083362
Electricity,Scope 3,waste_generation,kt,16.529498155961235,5.8112805553141005
Paper Products,Scope 3,waste_generation,kt,14.08210271219107,4.950849015327107
Transport,Scope 3,waste_generation,kt,12.565957718619913,4.417817471535238
Coal and Petroleum,Scope 3,waste_generation,kt,11.080056368972631,3.895418694582285
Services,Scope 3,waste_generation,kt,8.474542246788255,2.9793973240613822
Metal Products,Scope 3,waste_generation,kt,6.108101382498391,2.1474270095247117
"Steam, hot water supply and water distribution",Scope 3,waste_generation,kt,5.072767221035644,1.7834342721776892
Construction,Scope 3,waste_generation,kt,3.8374296318111365,1.3491262705811637
"Electrical, electronic and measuring equipment",Scope 3,waste_generation,kt,1.5850985029480968,0.5572735494766202
Non-metallic mineral products,Scope 3,waste_generation,kt,1.4720828113988869,0.5175405893741114
Furniture and timber,Scope 3,waste_generation,kt,1.401814041001864,0.4928361769835403
Textile,Scope 3,waste_generation,kt,0.7147792134643097,0.2512951394746259
General and special Machinery,Scope 3,waste_generation,kt,0.6573282833204094,0.23109709897273975
Minerals and Metals,Scope 3,waste_generation,kt,0.5321774951171275,0.18709779935058668
Transport Equipment,Scope 3,waste_generation,kt,0.25581332797381773,0.08993636737291408
Natural gas and gaseous fuels,Scope 3,waste_generation,kt,0.1525505321036705,0.053632235688726305
