producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
America,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.027111799818952165,0.03444587924011115
Europe,Transport,Scope 3,blue_water_consumption,Mm3,0.019437174646246537,0.0246951724011156
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.018434709573471757,0.02342152804442147
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.01716579474251972,0.021809355952386263
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.01532713230276535,0.019473312429416825
Middle East,Metal Products,Scope 3,blue_water_consumption,Mm3,0.015167612948735157,0.01927064110393944
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.01450122478366627,0.018423986642993023
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.01382686154146986,0.01756719974725807
Europe,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.013735055800561554,0.01745055941035702
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.012697947219186831,0.01613290004463892
Middle East,Textile,Scope 3,blue_water_consumption,Mm3,0.012420370793431152,0.015780235739600856
Africa,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.011091422710362743,0.014091790653275309
America,Services,Scope 3,blue_water_consumption,Mm3,0.010855915806954278,0.013792576200188736
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.01083158960511028,0.013761669457859399
Middle East,Chemical,Scope 3,blue_water_consumption,Mm3,0.010298680859072658,0.013084602260749926
Asia and Pacific,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.010097111585277955,0.012828505988646455
Middle East,Transport,Scope 3,blue_water_consumption,Mm3,0.008035500105298993,0.010209202934124022
Africa,Transport,Scope 3,blue_water_consumption,Mm3,0.007793984518877245,0.00990235437445471
America,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0057804060724471786,0.007344077887117421
Denmark,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.005677095820526929,0.007212820925732557
Europe,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.005361521388754785,0.006811879680935843
Middle East,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.00516676549968604,0.006564439898960435
Asia and Pacific,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.004675485076983779,0.005940262004964503
Asia and Pacific,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.004015198421632203,0.005101359588084078
Africa,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.004008329005046486,0.005092631908780536
Africa,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.003970170454395669,0.005044150995064992
Denmark,Textile,Scope 3,blue_water_consumption,Mm3,0.003341224781676888,0.004245067686847393
Africa,Paper Products,Scope 3,blue_water_consumption,Mm3,0.002807641451721884,0.0035671434224716163
America,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.002631431094156561,0.003343265969182479
America,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.002561750682800984,0.003254736138961556
Africa,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0025142820515806487,0.003194426651962244
America,Transport,Scope 3,blue_water_consumption,Mm3,0.002123986805694975,0.002698551682482369
America,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.001899745432182473,0.0024136502253961885
Middle East,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0015897221282188054,0.0020197617575974654
Africa,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0015603785953250135,0.00198248043369837
Middle East,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0014805483935532526,0.0018810551683782289
Europe,Construction,Scope 3,blue_water_consumption,Mm3,0.0013098410162930385,0.0016641693200845655
Europe,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.001167225268946989,0.0014829742373668852
Middle East,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0011323956625022206,0.0014387227887139476
Africa,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.001077329060888795,0.0013687599857275733
Denmark,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0009334578547917179,0.001185969827034944
Africa,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0008715985570179711,0.001107376819000743
America,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0008700137117407772,0.0011053632533430944
Europe,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0007610079673731906,0.0009668700978890782
Denmark,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.0006964546941597863,0.0008848543605159934
Middle East,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0005869169807299705,0.0007456853317448462
Denmark,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.000578809942034855,0.0007353852381416304
Middle East,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0005155314106520647,0.0006549890761362037
America,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0004893079036160601,0.0006216717839369974
America,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0004237990761919922,0.0005384420030416198
Africa,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00041890817442168733,0.0005322280514456288
Africa,Construction,Scope 3,blue_water_consumption,Mm3,0.0001675875315418,0.00021292204546309124
Middle East,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0001565533252319562,0.00019890294895907897
Middle East,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.00014437366402182488,0.00018342853774214548
America,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.00011264817604868019,0.0001431209102569121
Denmark,Services,Scope 3,blue_water_consumption,Mm3,7.634101500682623e-05,9.699221009128421e-05
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,6.882397795862921e-05,8.744172092661306e-05
America,Construction,Scope 3,blue_water_consumption,Mm3,6.674926243105785e-05,8.480576901646544e-05
Middle East,Transport Equipment,Scope 3,blue_water_consumption,Mm3,6.121684357149764e-05,7.777676197101989e-05
Asia and Pacific,Construction,Scope 3,blue_water_consumption,Mm3,5.32927899178101e-05,6.770915314129256e-05
Middle East,Construction,Scope 3,blue_water_consumption,Mm3,4.284467736022589e-05,5.443469604700349e-05
Denmark,Construction,Scope 3,blue_water_consumption,Mm3,1.445169243067165e-05,1.8361055171783997e-05
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,1.3579310224590867e-05,1.7252682716891704e-05
Denmark,Transport,Scope 3,blue_water_consumption,Mm3,1.104055071032609e-05,1.4027157143819383e-05
Denmark,Transport Equipment,Scope 3,blue_water_consumption,Mm3,2.3174094965097954e-06,2.944297619476461e-06
Denmark,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,1.5392641222618086e-07,1.9556542327743973e-07
Africa,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,3.626805446841409e-08,4.6079014777155015e-08
America,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,6.787029895686137e-10,8.623005988057061e-10
Denmark,Private travel,Outside protocol,climate_change,kt CO2eq,224.23761012569273,100.0
Denmark,Operational impact,Scope 1,climate_change,kt CO2eq,195.72222862199442,100.00000000000001
Denmark,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,1082.272376526716,96.64784682036077
Denmark,Electricity,Scope 2,climate_change,kt CO2eq,23.286241723272123,2.0794812580501474
Europe,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,4.858496436986159,0.43386787799763793
Middle East,Electricity,Scope 2,climate_change,kt CO2eq,4.464069674156362,0.39864523147850267
Europe,Electricity,Scope 2,climate_change,kt CO2eq,2.344356605611999,0.20935304552319076
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,1.2453565528207735,0.11121140293723789
Asia and Pacific,Electricity,Scope 2,climate_change,kt CO2eq,0.8305188409102533,0.0741660412467677
Africa,Electricity,Scope 2,climate_change,kt CO2eq,0.2633047684022941,0.02351334051903274
America,Electricity,Scope 2,climate_change,kt CO2eq,0.18415447152017647,0.016445151461672882
