producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0828451910688205,100.00000000000001
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.018404314511171315,54.83013114915152
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.0123194267253169,36.70203433121499
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.001769841536362386,5.272711651013262
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.0006530094498757486,1.945445659309364
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00032189509117927517,0.9589898094229247
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,4.910474503466773e-05,0.14629284935671985
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.5923554513611168e-05,0.07723144988479208
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.254183284819266e-05,0.06715662518473195
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.1735573343728175e-09,6.475461698479579e-06
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,21.52049056391708,45.37650786432373
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,9.099419030397236,19.186359064039973
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.367403446723579,7.1002567775476875
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,3.254030398631795,6.861206789674047
America,Food and catering,Scope 3,blue_water_consumption,Mm3,2.9647403436681654,6.251231268198832
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,2.132124226880726,4.495638770938808
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.0227913963959272,2.1565819656517595
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,0.7115101851139646,1.5002375254634388
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.4994630765381272,1.053130743147263
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.4704643985370792,0.9919862847316255
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.2434935297592578,0.5134123701881742
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.19784377469546038,0.4171586875174841
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.17677731570059052,0.3727395168942577
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.1688757449686925,0.3560788517764446
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.1385007619060744,0.29203241873971014
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.12691265801873283,0.2675986036454484
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.1254066645262564,0.26442317763217915
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.11393315550015008,0.24023098875022925
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.10597899573860382,0.22345943831080492
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.10100069541880223,0.21296256404385858
