producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
RUS,Russia,Europe,Scope 3,blue_water_consumption,Mm3,0.40679672655727966,0.8577413608199697
GRC,Greece,Europe,Scope 3,blue_water_consumption,Mm3,0.39683805663833405,0.8367432491573612
DEU,Germany,Europe,Scope 3,blue_water_consumption,Mm3,0.3109670858334539,0.6556820986007855
FRA,France,Europe,Scope 3,blue_water_consumption,Mm3,0.28481985006951405,0.6005499794816205
POL,Poland,Europe,Scope 3,blue_water_consumption,Mm3,0.2634158559731355,0.5554191074154087
ITA,Italy,Europe,Scope 3,blue_water_consumption,Mm3,0.24609587216835357,0.5188994760903969
NLD,Netherlands,Europe,Scope 3,blue_water_consumption,Mm3,0.21198782658274481,0.44698178470899835
PRT,Portugal,Europe,Scope 3,blue_water_consumption,Mm3,0.1691656625276537,0.3566901504062382
BRA,Brazil,America,Scope 3,blue_water_consumption,Mm3,0.1629465871862045,0.3435770700932248
MEX,Mexico,America,Scope 3,blue_water_consumption,Mm3,0.1495025430491822,0.31522995724744446
NOR,Norway,Europe,Scope 3,blue_water_consumption,Mm3,0.14825276006174457,0.3125947576738229
BEL,Belgium,Europe,Scope 3,blue_water_consumption,Mm3,0.1306001285951402,0.2753737301981098
SWE,Sweden,Europe,Scope 3,blue_water_consumption,Mm3,0.13052292993058104,0.27521095482832536
GBR,United Kingdom,Europe,Scope 3,blue_water_consumption,Mm3,0.12658758023636602,0.2669131687802777
ROU,Romania,Europe,Scope 3,blue_water_consumption,Mm3,0.09522382596543537,0.20078188621946977
ZAF,South Africa,Africa,Scope 3,blue_water_consumption,Mm3,0.0670367483549488,0.14134870810181713
IRL,Ireland,Europe,Scope 3,blue_water_consumption,Mm3,0.06041918006268604,0.12739539515271378
IDN,Indonesia,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.05922688853384486,0.12488141779823192
CAN,Canada,America,Scope 3,blue_water_consumption,Mm3,0.05307777343091293,0.1119158504475202
SVK,Slovakia,Europe,Scope 3,blue_water_consumption,Mm3,0.050230078260856854,0.10591141193830222
BGR,Bulgaria,Europe,Scope 3,blue_water_consumption,Mm3,0.049089537524319826,0.10350655246043193
KOR,South Korea,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.04844904753993892,0.10215606285486455
FIN,Finland,Europe,Scope 3,blue_water_consumption,Mm3,0.03729016888755962,0.07862728020825933
HUN,Hungary,Europe,Scope 3,blue_water_consumption,Mm3,0.03529961694224477,0.07443015023426287
AUT,Austria,Europe,Scope 3,blue_water_consumption,Mm3,0.030831925974642023,0.06500990891937837
LVA,Latvia,Europe,Scope 3,blue_water_consumption,Mm3,0.02920249245573326,0.061574206435480235
CZE,Czech Republic,Europe,Scope 3,blue_water_consumption,Mm3,0.026438245329050276,0.05574572027201082
CHE,Switzerland,Europe,Scope 3,blue_water_consumption,Mm3,0.024024523883962163,0.050656326523758274
CYP,Cyprus,Middle East,Scope 3,blue_water_consumption,Mm3,0.023305440730932575,0.049140121200666846
HRV,Croatia,Europe,Scope 3,blue_water_consumption,Mm3,0.02275117533085331,0.04797143834880896
JPN,Japan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.0188887955489726,0.03982751123771552
TWN,Taiwan,Asia and Pacific,Scope 3,blue_water_consumption,Mm3,0.014030962756806466,0.029584645851231776
LTU,Lithuania,Europe,Scope 3,blue_water_consumption,Mm3,0.008583823726949897,0.0180992131055313
SVN,Slovenia,Europe,Scope 3,blue_water_consumption,Mm3,0.0046254780950161995,0.009752939531344804
EST,Estonia,Europe,Scope 3,blue_water_consumption,Mm3,0.0036105873129200555,0.007613016214149144
MLT,Malta,Europe,Scope 3,blue_water_consumption,Mm3,0.001768954569987385,0.00372988620860015
LUX,Luxembourg,Europe,Scope 3,blue_water_consumption,Mm3,0.001568688502244832,0.003307620053891124
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,224.23761012569273,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,185.6533448181906,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,4.922445490673643,26.072141905792844
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,3.0009097369486177,15.894567985859517
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,1.3421495459620645,7.108806687126886
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,1.2552110495680104,6.648329710925401
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.2220298788903934,6.472582880991734
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,1.1711863695404663,6.203286005430315
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,0.8017849902542696,4.246720879581193
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,0.7211654156791861,3.8197125982932323
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.666543511684216,3.5304031412723957
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.5300167835423938,2.80727797172175
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.5131048199977531,2.7177023503610096
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.41932625556571906,2.2209963849570276
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.23830696179121447,1.2622126414057286
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.23071793677599708,1.2220167392879213
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.2077243005262158,1.1002290326753614
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.20090941884505967,1.064133445106351
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.19768114045498097,1.0470346001405701
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.18568546251764784,0.9834984943511006
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.1561411364350986,0.827014514265457
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.15564628957072507,0.8243935166954428
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.14098738564727212,0.7467514129891109
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.1305685493138035,0.6915671798891014
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.11931187184591588,0.6319452515434119
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.08983672025636688,0.4758276599126898
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.08051162993685432,0.42643654353459975
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.038204429638695275,0.20235293876938953
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.033320145754482194,0.17648292298584178
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,0.03214985439828935,0.17028437749303899
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.025045607047063382,0.13265614058803907
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.011471423163318083,0.060759346780394304
