producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.0828451910688205,100.00000000000001
Electricity,Scope 2,blue_water_consumption,Mm3,0.0422510648411192,99.78648849374645
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,9.040390769547298e-05,0.2135115062535562
Food and catering,Scope 3,blue_water_consumption,Mm3,53.57578558787123,81.53270695260323
Electricity,Scope 3,blue_water_consumption,Mm3,5.3589028670852805,8.155286054236468
Chemical,Scope 3,blue_water_consumption,Mm3,2.1382985221652238,3.2541056537367887
Metal Products,Scope 3,blue_water_consumption,Mm3,1.9365035395274925,2.9470099946927806
Paper Products,Scope 3,blue_water_consumption,Mm3,0.5503006307538169,0.8374585565244796
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.36464444056217704,0.5549232360856405
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.357686802437603,0.5443349625947601
Services,Scope 3,blue_water_consumption,Mm3,0.3389336961974475,0.515796108730977
Textile,Scope 3,blue_water_consumption,Mm3,0.32057982378740574,0.4878648169312693
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.30711885159420754,0.4673796389897324
Private travel,Scope 3,blue_water_consumption,Mm3,0.1605639849729293,0.24434949838427927
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.12244818082932657,0.18634410181559663
Transport,Scope 3,blue_water_consumption,Mm3,0.04673865852571485,0.07112782961781884
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.03401763803814494,0.05176872504902086
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.031556997665752075,0.0480240730911134
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.0302681826171413,0.04606272845525843
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.02067464029753756,0.03146308299978003
Construction,Scope 3,blue_water_consumption,Mm3,0.006560790959784256,0.009984343502047986
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.006315388893183665,0.009610885706475525
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.002890457469700397,0.0043987562524775555
Private travel,Outside protocol,climate_change,kt CO2eq,224.23761012569273,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,236.0512284611,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,14.073569027911978,59.055419379962686
Electricity,Scope 2,climate_change,kt CO2eq,9.757552951533476,40.944580620037314
Transport,Scope 3,climate_change,kt CO2eq,1107.7622622230526,21.05516715887771
Private travel,Scope 3,climate_change,kt CO2eq,575.451286893918,10.937566164267007
Food and catering,Scope 3,climate_change,kt CO2eq,543.1022122252097,10.32270935084044
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,462.6301752601556,8.793182440874777
Electricity,Scope 3,climate_change,kt CO2eq,453.5411742274698,8.620428373890793
Waste management and disposal,Scope 3,climate_change,kt CO2eq,439.79839253270274,8.359220192605932
"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,326.1379664243449,6.198883672152347
Services,Scope 3,climate_change,kt CO2eq,291.92742091739007,5.548646000397928
Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,281.80730369050116,5.356293573215605
Chemical,Scope 3,climate_change,kt CO2eq,197.3002707380248,3.7500737500701002
Metal Products,Scope 3,climate_change,kt CO2eq,192.2039246723608,3.6532078231728375
Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,116.93189940816958,2.222517206267084
Minerals and Metals,Scope 3,climate_change,kt CO2eq,102.29013044217008,1.9442220308545162
Construction,Scope 3,climate_change,kt CO2eq,45.2146341444141,0.8593916875518628
"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,25.699777176078033,0.48847403711183446
Furniture and timber,Scope 3,climate_change,kt CO2eq,24.5193564552628,0.4660378552322578
Paper Products,Scope 3,climate_change,kt CO2eq,22.43248210791221,0.4263727666826056
Textile,Scope 3,climate_change,kt CO2eq,18.218455286842584,0.3462770257863974
General and special Machinery,Scope 3,climate_change,kt CO2eq,13.28904515947346,0.25258403969555776
